id,text,label
345,A coworker spreads rumors about me and pressures others not to collaborate with me.,workplace
81,He keeps making sexual comments about my body on the bus even after I clearly said no. Witnesses were present during the incident.,sexual
473,My manager reminded everyone about deadlines in a neutral tone. We resolved it calmly.,non-harassment
122,They keep making sexual comments about my body at the gym even after I clearly said no. I am worried it will happen again.,sexual
203,They wait outside my building every evening and follow me to the metro. I saved screenshots and call logs.,stalking
455,My teammate gave constructive feedback on my report and helped me improve it. Everyone remained respectful.,non-harassment
298,She threatened to kidnap my sibling if I block her again. I reported this once but it continued.,threat
124,They keep asking detailed sexual questions and ignore my boundaries. I saved screenshots and call logs.,sexual
260,They threatened to kidnap my sibling if I block them again. I have asked multiple times for this to stop.,threat
165,He posts humiliating comments under all my posts and tags my friends. I saved screenshots and call logs.,cyber
251,She keeps sending voice notes saying I will not be safe outside. It makes me feel unsafe and anxious.,threat
231,They repeatedly ring my doorbell late at night and run away before I open. I reported this once but it continued.,stalking
291,"During an argument, he threatened to attack me with a weapon. I saved screenshots and call logs.",threat
215,She waits outside my building every evening and follows me to the metro. I saved screenshots and call logs.,stalking
142,She keeps emailing me harassment from anonymous addresses after being blocked.,cyber
480,A friend declined my invitation because they were busy with family. It was a normal interaction.,non-harassment
137,She created fake accounts to post edited photos of me and mock me online. I saved screenshots and call logs.,cyber
458,I received a message confirming tomorrow's meeting agenda. We resolved it calmly.,non-harassment
463,"We had a disagreement in class, but we resolved it respectfully later. It did not feel threatening.",non-harassment
409,They blocked the doorway and shoved me repeatedly. I am worried it will happen again.,physical
280,They threatened to kidnap my sibling if I block them again. I saved screenshots and call logs.,threat
47,"On voice calls, she curses at me and threatens to ruin my reputation if I speak up. The behavior escalated recently.",verbal
160,He keeps emailing me harassment from anonymous addresses after being blocked. I have asked multiple times for this to stop.,cyber
379,"They threw an object at me, causing bruises on my shoulder. I have asked multiple times for this to stop.",physical
227,"After I ended contact, they keep showing up wherever I go, including my classes. I reported this once but it continued.",stalking
380,They slapped me after I refused to share my phone password.,physical
400,"She threw an object at me, causing bruises on my shoulder. I reported this once but it continued.",physical
213,She sits near my desk daily and watches me for hours without reason. Witnesses were present during the incident.,stalking
482,Customer support followed up to confirm my complaint was resolved. It was a normal interaction.,non-harassment
172,They created fake accounts to post edited photos of me and mock me online.,cyber
217,They repeatedly ring my doorbell late at night and run away before I open. Witnesses were present during the incident.,stalking
239,She sits near my desk daily and watches me for hours without reason. I have asked multiple times for this to stop.,stalking
456,My manager reminded everyone about deadlines in a neutral tone. There was no intimidation involved.,non-harassment
34,"During team meetings, they mock my accent and say I am useless in front of everyone. Witnesses were present during the incident.",verbal
219,They repeatedly ring my doorbell late at night and run away before I open. I have asked multiple times for this to stop.,stalking
247,She sits near my desk daily and watches me for hours without reason. I saved screenshots and call logs.,stalking
30,"They shout slurs at me every day at the market, making it hard to feel safe. I reported this once but it continued.",verbal
87,He touched my waist without permission and said I should take it as a compliment. The behavior escalated recently.,sexual
405,They pushed me against the wall during an argument at the office. I reported this once but it continued.,physical
177,He keeps emailing me harassment from anonymous addresses after being blocked.,cyber
135,She keeps emailing me harassment from anonymous addresses after being blocked. This has been happening for weeks.,cyber
51,"He shouts slurs at me every day on the bus, making it hard to feel safe. This has been happening for weeks.",verbal
434,"During commute, she punched me and ran before help arrived. This has been happening for weeks.",physical
418,A person kicked my chair and hit me in front of others. I reported this once but it continued.,physical
279,I was told my house would be vandalized if I testify. Witnesses were present during the incident.,threat
220,I noticed the same person trailing me from work to home for several days.,stalking
206,He sits near my desk daily and watches me for hours without reason.,stalking
96,I receive repeated messages describing sexual acts and demanding that I respond. This has been happening for weeks.,sexual
70,Someone in class brushed against me repeatedly and whispered sexual remarks.,sexual
398,She slapped me after I refused to share my phone password. It makes me feel unsafe and anxious.,physical
60,"During team meetings, she mocks my accent and says I am useless in front of everyone. I am worried it will happen again.",verbal
311,"When I complained, HR ignored it and my shift was changed to isolate me. I reported this once but it continued.",workplace
139,He posts humiliating comments under all my posts and tags my friends.,cyber
307,"During an argument, he threatened to attack me with a weapon. I have asked multiple times for this to stop.",threat
451,"We had a disagreement in class, but we resolved it respectfully later.",non-harassment
390,Someone grabbed my arm hard and would not let go when I tried to leave. The behavior escalated recently.,physical
283,He said he would hurt me if I report the incidents to anyone.,threat
65,A colleague sent me explicit jokes and asked for intimate photos during work hours.,sexual
422,They slapped me after I refused to share my phone password. Witnesses were present during the incident.,physical
464,I received a message confirming tomorrow's meeting agenda. It was a normal interaction.,non-harassment
467,My teammate gave constructive feedback on my report and helped me improve it. It ended without any conflict.,non-harassment
111,"At a party, he tried to kiss me forcefully after I refused multiple times. Witnesses were present during the incident.",sexual
440,My teammate gave constructive feedback on my report and helped me improve it. It was a normal interaction.,non-harassment
443,A friend declined my invitation because they were busy with family.,non-harassment
149,Private screenshots of my chat were leaked to shame me in a public forum. I have asked multiple times for this to stop.,cyber
226,They monitor my routine and appear at places I never shared with them. I saved screenshots and call logs.,stalking
254,He threatened to kidnap my sibling if I block him again. I have asked multiple times for this to stop.,threat
127,"I am being doxxed on social media, and people keep posting my location details. I saved screenshots and call logs.",cyber
76,She keeps making sexual comments about my body during internship even after I clearly said no.,sexual
61,"He shouts slurs at me every day in our apartment building, making it hard to feel safe. The behavior escalated recently.",verbal
73,Someone in class brushed against me repeatedly and whispered sexual remarks. I have asked multiple times for this to stop.,sexual
223,They monitor my routine and appear at places I never shared with them. I reported this once but it continued.,stalking
435,A stranger asked for directions and left after I answered. It ended without any conflict.,non-harassment
204,They monitor my routine and appear at places I never shared with them. This has been happening for weeks.,stalking
439,"We had a disagreement in class, but we resolved it respectfully later. We resolved it calmly.",non-harassment
